User_id,Username,Gender,Repo_id,commit_date,Project_size,Project_Tenure
7876037,ddemoray,male,7598347,11/7/2016,Small,One Year
8676027,shahirenu,female,7616207,7/2/2015,Small,One Year
640469,ekulos,male,7623660,12/3/2016,Small,One Year
640469,ekulos,male,7649444,12/3/2016,Small,One Year
10242519,teresaholfeld,female,7675064,3/15/2016,Small,One Year
7073532,jjehl,male,7681718,5/11/2016,Small,One Year
7876037,ddemoray,male,7689905,11/7/2016,Small,One Year
640469,ekulos,male,7701391,12/3/2016,Small,One Year
7348708,dickw-il,male,7720230,3/12/2015,Small,One Year
11486422,VladislavSabila,male,7747206,5/13/2016,Small,One Year
11486422,VladislavSabila,male,7747233,5/13/2016,Small,One Year
11486422,VladislavSabila,male,7747243,5/13/2016,Small,One Year
11486422,VladislavSabila,male,7747251,5/13/2016,Small,One Year
10907781,jlakhlili,male,7749109,12/19/2015,Small,One Year
11486422,VladislavSabila,male,7774012,5/13/2016,Small,One Year
640469,ekulos,male,7774213,12/3/2016,Small,One Year
7027136,PanteraLX,male,7783600,12/8/2016,Small,One Year
640469,ekulos,male,7812568,12/3/2016,Small,One Year
7362974,rgomezam,female,7822753,10/5/2016,Small,One Year
9291813,henriknyman,male,7884792,3/30/2016,Small,One Year
209780,vkmagalhaes,male,7902328,5/24/2016,Small,One Year
11952521,Lucy-tri,female,7909005,8/29/2016,Small,One Year
640469,ekulos,male,8007376,12/3/2016,Small,One Year
640469,ekulos,male,8029780,12/3/2016,Small,One Year
7632812,zhangxiaokang,male,8030373,8/3/2015,Small,One Year
7157082,c42759,male,8034374,2/26/2015,Small,One Year
640469,ekulos,male,8041043,12/3/2016,Small,One Year
7876037,ddemoray,male,8042649,11/7/2016,Small,One Year
640469,ekulos,male,8081227,12/3/2016,Small,One Year
6682813,Jeffchiucp,male,8090622,10/26/2016,Small,One Year
1025081,mlippautz,male,8095689,2/3/2016,Small,One Year
1025081,mlippautz,male,8095714,2/3/2016,Small,One Year
9511520,mikeskaug,male,8106943,5/23/2016,Small,One Year
640469,ekulos,male,8113222,12/3/2016,Small,One Year
640469,ekulos,male,8115087,12/3/2016,Small,One Year
7886184,Richard-Hordijk,male,8157671,8/10/2016,Small,One Year
7886184,Richard-Hordijk,male,8174071,8/10/2016,Small,One Year
7886184,Richard-Hordijk,male,8175414,8/10/2016,Small,One Year
7886184,Richard-Hordijk,male,8228458,8/10/2016,Small,One Year
7027136,PanteraLX,male,8229263,12/8/2016,Small,One Year
7607099,nipuman,male,8231820,4/10/2015,Small,One Year
7886184,Richard-Hordijk,male,8246804,8/10/2016,Small,One Year
640469,ekulos,male,8357327,12/3/2016,Small,One Year
8442971,mitchellwagner,male,8378735,7/15/2015,Small,One Year
7688224,manuabalos,male,8396431,1/27/2016,Small,One Year
6971876,justin-zhao,male,8409819,2/16/2015,Small,One Year
9670340,AlexeyBulatov,male,8452211,9/19/2016,Small,One Year
6761342,chilbert,male,8532763,5/16/2016,Small,One Year
7876037,ddemoray,male,8538441,11/7/2016,Small,One Year
11437989,cwaldock1,male,8550051,2/3/2016,Small,One Year
640469,ekulos,male,8588524,12/3/2016,Small,One Year
7886184,Richard-Hordijk,male,8655029,8/10/2016,Small,One Year
7607099,nipuman,male,8675800,4/10/2015,Small,One Year
7027136,PanteraLX,male,8702537,12/8/2016,Small,One Year
8009136,boomsbloom,male,8735762,8/10/2015,Small,One Year
6682813,Jeffchiucp,male,8739356,10/26/2016,Small,One Year
6818359,FrankErrickson,male,8778530,7/3/2015,Small,One Year
7607099,nipuman,male,8793067,4/10/2015,Small,One Year
11486422,VladislavSabila,male,8808530,5/13/2016,Small,One Year
7876037,ddemoray,male,8821316,11/7/2016,Small,One Year
7876037,ddemoray,male,8822036,11/7/2016,Small,One Year
640469,ekulos,male,8857576,12/3/2016,Small,One Year
1618347,colin-higgins,male,8892135,2/16/2016,Small,One Year
6964720,hansemannn,male,8933428,9/21/2015,Small,One Year
7594455,ehsanzahoor,male,8941653,1/11/2016,Small,One Year
10032438,urishani,male,8983607,3/8/2016,Small,One Year
7278115,ahazeb,male,8997595,3/6/2015,Small,One Year
7027136,PanteraLX,male,8997621,12/8/2016,Small,One Year
6672756,satuhelske,female,9046897,1/16/2015,Small,One Year
7781901,thewassermann,male,9072892,10/1/2016,Small,One Year
1984701,piotrzadrozny,male,9089849,11/30/2015,Small,One Year
7876037,ddemoray,male,9117637,11/7/2016,Small,One Year
7886184,Richard-Hordijk,male,9138467,8/10/2016,Small,One Year
1984701,piotrzadrozny,male,9165566,11/30/2015,Small,One Year
7157082,c42759,male,9201640,2/25/2015,Small,One Year
209780,vkmagalhaes,male,9238964,5/24/2016,Small,One Year
209780,vkmagalhaes,male,9238980,5/24/2016,Small,One Year
209780,vkmagalhaes,male,9239065,5/24/2016,Small,One Year
209780,vkmagalhaes,male,9239077,5/24/2016,Small,One Year
209780,vkmagalhaes,male,9239091,5/24/2016,Small,One Year
209780,vkmagalhaes,male,9239118,5/24/2016,Small,One Year
209780,vkmagalhaes,male,9239147,5/24/2016,Small,One Year
209780,vkmagalhaes,male,9239203,5/24/2016,Small,One Year
209780,vkmagalhaes,male,9239214,5/24/2016,Small,One Year
1984701,piotrzadrozny,male,9284600,11/30/2015,Small,One Year
3758039,faketraveler,male,9306616,10/13/2015,Small,One Year
6874072,aaronlehmann,male,9316303,7/1/2016,Small,One Year
9058833,helge000,male,9329748,11/29/2016,Small,One Year
9291813,henriknyman,male,9353389,9/2/2015,Small,One Year
7876037,ddemoray,male,9378523,11/7/2016,Small,One Year
6847942,kevinburkeshyp,male,9413394,8/20/2015,Small,One Year
12359584,estermer,male,9414748,11/29/2016,Small,One Year
7876037,ddemoray,male,9500047,11/7/2016,Small,One Year
7604827,monicasarbu,female,9504109,4/2/2015,Small,One Year
7766873,thijsdhollander,male,9512960,4/21/2015,Small,One Year
6648179,smlng,male,9623750,12/21/2016,Small,One Year
7876037,ddemoray,male,9647544,11/7/2016,Small,One Year
9083564,johnnymitch,male,9671641,7/6/2016,Small,One Year
10315331,colinstern,male,9687215,6/14/2016,Small,One Year
209780,vkmagalhaes,male,9688815,5/24/2016,Small,One Year
7876037,ddemoray,male,9689084,11/7/2016,Small,One Year
7630521,Akcakaya,male,9696488,10/7/2015,Small,One Year
6976534,SkipHendriks,male,9700481,2/11/2015,Small,One Year
209780,vkmagalhaes,male,9701276,5/24/2016,Small,One Year
7887609,nsblunt,male,9712200,7/10/2015,Small,One Year
7876037,ddemoray,male,9756510,11/7/2016,Small,One Year
6590458,raquel-ucl,female,9810202,1/7/2015,Small,One Year
209780,vkmagalhaes,male,9839007,5/24/2016,Small,One Year
7581602,DrKenHo,male,9841159,8/29/2016,Small,One Year
6610069,jcbuchanan,male,9852590,1/9/2015,Small,One Year
640469,ekulos,male,9867618,12/3/2016,Small,One Year
7157082,c42759,male,9885888,2/25/2015,Small,One Year
209780,vkmagalhaes,male,9899774,5/24/2016,Small,One Year
1984701,piotrzadrozny,male,9968456,11/30/2015,Small,One Year
1984701,piotrzadrozny,male,9981718,11/30/2015,Small,One Year
209780,vkmagalhaes,male,9986732,5/24/2016,Small,One Year
640469,ekulos,male,9992821,12/3/2016,Small,One Year
7157082,c42759,male,9993356,2/25/2015,Small,One Year
7886184,Richard-Hordijk,male,10034758,8/10/2016,Small,One Year
7876037,ddemoray,male,10041640,11/7/2016,Small,One Year
5395505,ali-abrar,male,10133871,1/24/2015,Small,One Year
31123066,mpound,male,10232915,9/28/2016,Small,One Year
6877489,atrodack,male,10278284,2/17/2015,Small,One Year
640469,ekulos,male,10355311,12/3/2016,Small,One Year
6962320,seanhamlin,male,10365929,10/20/2015,Small,One Year
7218539,rickleegit,male,10404359,11/12/2015,Small,One Year
7876037,ddemoray,male,10433275,11/7/2016,Small,One Year
7993237,coalescecreate,male,10450255,4/7/2016,Small,One Year
7700689,markiantorno,male,10475417,4/15/2015,Small,One Year
11110209,alexeiva,male,10479117,10/20/2016,Small,One Year
209780,vkmagalhaes,male,10492614,5/24/2016,Small,One Year
7993237,coalescecreate,male,10508550,4/7/2016,Small,One Year
6654122,vandine,male,10552764,4/1/2015,Small,One Year
7993237,coalescecreate,male,10557342,4/7/2016,Small,One Year
8059080,dmetzger57,male,10574835,5/18/2015,Small,One Year
11486422,VladislavSabila,male,10588781,5/13/2016,Small,One Year
6910309,coldpour,male,10591249,6/1/2016,Small,One Year
7993237,coalescecreate,male,10606509,4/7/2016,Small,One Year
1025081,mlippautz,male,10650465,2/3/2016,Small,One Year
1025081,mlippautz,male,10651621,2/3/2016,Small,One Year
11110209,alexeiva,male,10750346,11/1/2016,Small,One Year
209780,vkmagalhaes,male,10766042,5/24/2016,Small,One Year
640469,ekulos,male,10806403,12/3/2016,Small,One Year
11611740,lcrem,female,10820579,6/16/2016,Small,One Year
7157082,c42759,male,10858222,2/25/2015,Small,One Year
11164701,ac-esousa,male,10868217,4/20/2016,Small,One Year
7625179,pinguinjkeke,male,10872722,8/4/2015,Small,One Year
6831274,jessicasperling,female,10927611,12/6/2015,Small,One Year
6885304,tayloa45,male,10944499,8/4/2016,Small,One Year
7859753,a-gola,male,10950918,7/2/2015,Small,One Year
6603637,dawndelatte,female,10994538,8/22/2016,Small,One Year
7027136,PanteraLX,male,11013074,12/8/2016,Small,One Year
7876037,ddemoray,male,11063063,11/7/2016,Small,One Year
7604827,monicasarbu,female,11069386,4/2/2015,Small,One Year
7876037,ddemoray,male,11090536,11/7/2016,Small,One Year
7327938,chris-zielinski,female,11103533,6/6/2016,Small,One Year
7762103,felixmokross,male,11105661,8/8/2016,Small,One Year
30539492,bdbfox,male,11143826,9/30/2016,Small,One Year
640469,ekulos,male,11146370,12/3/2016,Small,One Year
7633843,idolizesc,male,11201437,4/16/2015,Small,One Year
1984701,piotrzadrozny,male,11203819,11/30/2015,Small,One Year
7876037,ddemoray,male,11214768,11/7/2016,Small,One Year
6993156,gjs3,male,11298510,2/13/2015,Small,One Year
6765332,trappitsch,male,11338959,1/24/2015,Small,One Year
7852234,cdc482,male,11447249,6/15/2015,Small,One Year
7876037,ddemoray,male,11460761,11/7/2016,Small,One Year
